Time,Reading ID,Humidity%,Temperature,MQ139,TVOC,eCO2,Detector,Status
0:03:20,201,40.2,21.7,144,787,2546,OFF,1
0:03:21,202,40.3,21.7,144,780,2523,OFF,1
0:03:22,203,40.3,21.7,145,788,2528,OFF,1
0:03:23,204,40.3,21.7,145,796,2543,OFF,1
0:03:24,205,40.3,21.7,145,794,2560,OFF,1
0:03:25,206,40.3,21.7,145,803,2604,OFF,1
0:03:26,207,40.3,21.7,146,814,2676,OFF,1
0:03:27,208,40.3,21.7,145,805,2676,OFF,1
0:03:28,209,40.3,21.7,146,813,2688,OFF,1
0:03:29,210,40.2,21.6,146,829,2705,OFF,1
0:03:30,211,40.2,21.6,146,837,2700,OFF,1
0:03:31,212,40.3,21.7,146,829,2742,OFF,1
0:03:32,213,40.3,21.7,147,825,2752,OFF,1
0:03:33,214,40.3,21.7,146,819,2737,OFF,1
0:03:34,215,40.3,21.7,147,852,2769,OFF,1
0:03:35,216,40.2,21.6,148,862,2788,OFF,1
0:03:36,217,40.2,21.6,148,854,2801,OFF,1
0:03:37,218,40.2,21.6,148,861,2838,OFF,1
0:03:38,219,40.2,21.6,148,864,2845,OFF,1
0:03:39,220,40.2,21.6,148,870,2887,OFF,1
0:03:40,221,40.2,21.6,149,856,2904,OFF,1
0:03:41,222,40.2,21.6,149,876,2936,OFF,1
0:03:42,223,40.2,21.6,149,879,2909,OFF,1
0:03:43,224,40.3,21.7,149,883,2867,OFF,1
0:03:44,225,40.3,21.7,150,871,2838,OFF,1
0:03:45,226,40.3,21.6,149,879,2860,OFF,1
0:03:46,227,40.3,21.6,150,889,2899,OFF,1
0:03:47,228,40.3,21.6,150,862,2906,OFF,1
0:03:48,229,40.3,21.6,150,889,2958,OFF,1
0:03:49,230,40.3,21.6,150,880,2950,OFF,1
0:03:50,231,40.3,21.6,150,888,2948,OFF,1
0:03:51,232,40.3,21.6,150,887,2968,OFF,1
0:03:52,233,40.3,21.6,150,902,2977,OFF,1
0:03:53,234,40.3,21.6,150,903,3012,OFF,1
0:03:54,235,40.3,21.6,150,896,3002,OFF,1
0:03:55,236,40.3,21.6,150,913,3024,OFF,1
0:03:56,237,40.3,21.6,151,910,2992,OFF,1
0:03:57,238,40.3,21.6,151,916,3007,OFF,1
0:03:58,239,40.3,21.6,150,896,3034,OFF,1
0:03:59,240,40.3,21.6,151,904,3012,OFF,1
0:04:00,241,40.3,21.6,151,916,3046,OFF,1
0:04:01,242,40.3,21.6,152,911,3110,OFF,1
0:04:02,243,40.3,21.6,152,914,3090,OFF,1
0:04:03,244,40.4,21.6,152,915,3134,OFF,1
0:04:04,245,40.4,21.6,152,910,3120,OFF,1
0:04:05,246,40.3,21.6,152,932,3169,OFF,1
0:04:06,247,40.3,21.6,152,940,3154,OFF,1
0:04:07,248,40.4,21.6,153,936,3157,OFF,1
0:04:08,249,40.4,21.6,153,933,3120,OFF,1
0:04:09,250,40.4,21.6,152,927,3132,OFF,1
0:04:10,251,40.4,21.6,152,927,3134,OFF,1
0:04:11,252,40.4,21.6,152,936,3107,OFF,1
0:04:12,253,40.4,21.6,153,928,3147,OFF,1
0:04:13,254,40.4,21.6,153,940,3142,OFF,1
0:04:14,255,40.4,21.6,152,936,3152,OFF,1
0:04:15,256,40.4,21.6,152,944,3193,OFF,1
0:04:16,257,40.4,21.6,153,931,3142,OFF,1
0:04:17,258,40.4,21.6,152,944,3183,OFF,1
0:04:18,259,40.4,21.6,153,929,3134,OFF,1
0:04:19,260,40.4,21.6,153,941,3152,OFF,1
0:04:20,261,40.4,21.6,153,940,3174,OFF,1
0:04:21,262,40.4,21.6,154,954,3245,OFF,1
0:04:22,263,40.5,21.6,154,942,3233,OFF,1
0:04:23,264,40.5,21.6,154,947,3240,OFF,1
0:04:24,265,40.5,21.6,155,941,3269,OFF,1
0:04:25,266,40.5,21.6,154,958,3318,OFF,1
0:04:26,267,40.5,21.6,155,975,3380,OFF,1
0:04:27,268,40.5,21.6,155,982,3382,OFF,1
0:04:28,269,40.5,21.6,155,971,3368,OFF,1
